31,2697,0A-01-5001,"Architectural, Ceiling and Drywall Partitions - Boards - Styroboards4'x8'x1/2"" thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
32,2698,0A-01-6001,"Architectural, Ceiling and Drywall Partitions - Boards - Ficem Boards4'x8'x6mm thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
33,2699,0A-01-6002,"Architectural, Ceiling and Drywall Partitions - Boards - Ficem Boards4'x8'x3.5mm thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
34,2700,0A-01-6003,"Architectural, Ceiling and Drywall Partitions - Boards - Ficem Boards4'x8'x4.5mm thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
35,2701,0A-01-6004,"Architectural, Ceiling and Drywall Partitions - Boards - Ficem Boards4'x8'x6.0mm thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
36,2702,0A-01-6005,"Architectural, Ceiling and Drywall Partitions - Boards - Ficem Boards4'x8'x9.0mm thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
37,2703,0A-01-6006,"Architectural, Ceiling and Drywall Partitions - Boards - Ficem Boards4'x8'x12.0mm thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
38,2704,0A-01-7001,"Architectural, Ceiling and Drywall Partitions - Boards - Marine Plywood4'x8'x1/2"" thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
39,2705,0A-01-7002,"Architectural, Ceiling and Drywall Partitions - Boards - Marine Plywood4'x8'x1/4"" thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
40,2706,0A-01-7003,"Architectural, Ceiling and Drywall Partitions - Boards - Marine Plywood4'x8'x3/4"" thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
41,21268,0A-01-7004,"Architectural, Ceiling and Drywall Partitions - Boards - Marine Plywood4'x8'x9mm thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
42,2707,0A-01-8001,"Architectural, Ceiling and Drywall Partitions - Boards - Ordinary Plywood4'x8'x1/2"" (11mm) thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
43,2708,0A-01-8002,"Architectural, Ceiling and Drywall Partitions - Boards - Ordinary Plywood4'x8'x1/2"" (12mm) thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
44,2709,0A-01-8003,"Architectural, Ceiling and Drywall Partitions - Boards - Ordinary Plywood4'x8'x1/4"" (5mm) thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
45,2710,0A-01-8004,"Architectural, Ceiling and Drywall Partitions - Boards - Ordinary Plywood4'x8'x3/16""(4mm) thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
46,2711,0A-01-8005,"Architectural, Ceiling and Drywall Partitions - Boards - Ordinary Plywood4'x8'x3/4""(18mm) thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
47,2712,0A-01-8006,"Architectural, Ceiling and Drywall Partitions - Boards - Ordinary Plywood4'x8'x3/8""(10mm) thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
48,2283,0A-01-8007,"Architectural, Ceiling and Drywall Partitions - Boards - Ordinary Plywood4'x8'x1/8""(2mm) thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
49,2713,0A-01-8008,"Architectural, Ceiling and Drywall Partitions - Boards - Ordinary Plywood4'x8'x1/4""(4.5mm) thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
50,21269,0A-01-9001,"Architectural, Ceiling and Drywall Partitions - Boards - Calcium Silicate Board, 4'x8'x9mm thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
51,21270,0A-01-9002,"Architectural, Ceiling and Drywall Partitions - Boards - Calcium Silicate Board, 4'x8'x6mm thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
52,21271,0A-01-9003,"Architectural, Ceiling and Drywall Partitions - Boards - Calcium Silicate Board, 4'x8'x12mm thk.",Unit,Ceiling and Drywall Partitions,0-Architectural,1
53,14546,0A-02-0001,"Architectural, Ceiling and Drywall Partitions - Moldings - 1"" x 10'",Length,Ceiling and Drywall Partitions,0-Architectural,1
54,11386,0A-02-1001,"Architectural, Ceiling and Drywall Partitions - Moldings - PVC, 1/2""",Length,Ceiling and Drywall Partitions,0-Architectural,1
55,11387,0A-02-1002,"Architectural, Ceiling and Drywall Partitions - Moldings - PVC, 3/4""",Length,Ceiling and Drywall Partitions,0-Architectural,1
56,15928,0A-02-1003,"Architectural, Ceiling and Drywall Partitions - Moldings - PVC,  ,  , 2"" x 8'",Length,Ceiling and Drywall Partitions,0-Architectural,1
57,15517,0A-02-1013,"Architectural, Ceiling and Drywall Partitions - Moldings - PVC, White, 15mm",Length,Ceiling and Drywall Partitions,0-Architectural,1
58,14080,0A-02-1110,"Architectural, Ceiling and Drywall Partitions - Moldings - PVC, Grooved, ZB12-245",Length,Ceiling and Drywall Partitions,0-Architectural,1
59,14943,0A-02-2002,"Architectural, Ceiling and Drywall Partitions - Moldings - Cornice, 1"" x 10'",Length,Ceiling and Drywall Partitions,0-Architectural,1
60,16475,0A-02-2111,"Architectural, Ceiling and Drywall Partitions - Moldings - Cornice, Wood, Colonial, 8'L x 4""W x 1""T",Length,Ceiling and Drywall Partitions,0-Architectural,1
61,15767,0A-02-3111,"Architectural, Ceiling and Drywall Partitions - Moldings - Baseboard, PVC, Light Walnut, 2.4mL x 25mmW x 15mmT",Length,Ceiling and Drywall Partitions,0-Architectural,1
62,16474,0A-02-3211,"Architectural, Ceiling and Drywall Partitions - Moldings - Baseboard, Wood, Colonial, 8'L x 4""W x 1""T",Length,Ceiling and Drywall Partitions,0-Architectural,1
63,16530,0A-02-3212,"Architectural, Ceiling and Drywall Partitions - Moldings - Baseboard, Wood, Colonial Casing, 10'L x 2""W x 1""T",Length,Ceiling and Drywall Partitions,0-Architectural,1
64,15769,0A-02-4111,"Architectural, Ceiling and Drywall Partitions - Moldings - Reducer, PVC, Light Walnut, 2400mm x 45mm x 7mm thk.",Length,Ceiling and Drywall Partitions,0-Architectural,1
65,15770,0A-02-5111,"Architectural, Ceiling and Drywall Partitions - Moldings - End Cap, PVC, Light Walnut, 2400mm x 35mm x 8mm thk.",Length,Ceiling and Drywall Partitions,0-Architectural,1
66,17706,0A-02-6000,"Architectural, Ceiling and Drywall Partitions - Mouldings - End Moulding, 0.40 x 8ft",Length,Ceiling and Drywall Partitions,0-Architectural,1
67,19208,0A-02-7000,"Architectural, Ceiling and Drywall Partitions - Moldings - PVC, Grooved, PGU20",Length,Ceiling and Drywall Partitions,0-Architectural,1
68,21082,0A-02-8100,"Architectural, Ceiling and Drywall Partitions - Moldings - Treated KD Lauan Wood, Sanded",Length,Ceiling and Drywall Partitions,0-Architectural,1
69,2715,0B-02-1011,"Architectural, Ceiling Grid Components and Frames - Channel - Aluminum, Carrying, 1"" x 2"" x 6m (25mm x 50mm x6m);Gauge 0.8mm",Length,Ceiling Grid Components and Frames,0-Architectural,1
70,2716,0B-02-1012,"Architectural, Ceiling Grid Components and Frames - Channel - Aluminum, Carrying, 12mm x 38mm x 5m (16');Gauge 0.6mm",Length,Ceiling Grid Components and Frames,0-Architectural,1
71,2717,0B-02-1013,"Architectural, Ceiling Grid Components and Frames - Channel - Aluminum, Carrying, 12mm x 38mm x 5m (16');Gauge 0.8mm",Length,Ceiling Grid Components and Frames,0-Architectural,1
72,2718,0B-02-1014,"Architectural, Ceiling Grid Components and Frames - Channel - Aluminum, Carrying, 12mm x 50mm x 5m;Gauge 0.8mm",Length,Ceiling Grid Components and Frames,0-Architectural,1
73,2719,0B-02-1015,"Architectural, Ceiling Grid Components and Frames - Channel - Aluminum, Carrying, 12mm x 40mm x 3m;Gauge22",Length,Ceiling Grid Components and Frames,0-Architectural,1
74,2720,0B-02-1016,"Architectural, Ceiling Grid Components and Frames - Channel - Aluminum, Carrying, 1.5"" x 1.5"" x 5m (38.1mm x 38.1mm x5m);Gauge 0.8mm",Length,Ceiling Grid Components and Frames,0-Architectural,1
75,2721,0B-02-1017,"Architectural, Ceiling Grid Components and Frames - Channel - Aluminum, Carrying, 1 1/2"" x 1/2"" x 5m (40mm x 15mm x 5m)",Length,Ceiling Grid Components and Frames,0-Architectural,1
76,2722,0B-02-1018,"Architectural, Ceiling Grid Components and Frames - Channel - Aluminum, Carrying, 2"" x 1"" x 1mm thk.",Length,Ceiling Grid Components and Frames,0-Architectural,1
77,13603,0B-02-1019,"Architectural, Ceiling Grid Components and Frames - Channel - Aluminum, Carrying, 11/2"" x 1/2"" x 5m;Gauge 0.8mm",Length,Ceiling Grid Components and Frames,0-Architectural,1
78,2726,0B-02-10211,"Architectural, Ceiling Grid Components and Frames - Channel - Aluminum, Unistrut , 1 5/8"" x 1 5/8"" x 10'",Length,Ceiling Grid Components and Frames,0-Architectural,1
79,2724,0B-02-1022,"Architectural, Ceiling Grid Components and Frames - Channel - Aluminum, Unistrut , 1 1/2"" x 1 1/2"" x 10' (40mm x 40mm x 3m)",Length,Ceiling Grid Components and Frames,0-Architectural,1
80,2725,0B-02-1023,"Architectural, Ceiling Grid Components and Frames - Channel - Aluminum, Unistrut , 2"" x 2"" x 10'(51mm x 51mm x 3m);Gauge 16",Length,Ceiling Grid Components and Frames,0-Architectural,1
81,16890,0B-02-1031,"Architectural, Ceiling Grid Components and Frames - Channel - MS Channel (6"" x 3"" x 1/4""thk)",Length,Ceiling Grid Components and Frames,0-Architectural,1
82,22471,0B-02-2001,"Architectural, Ceiling Grid Components and Frames - Channel - Galvanized Steel, 50mm x 50mm x 1mm thk.",Length,Ceiling Grid Components and Frames,0-Architectural,1
83,14081,0B-03-1100,"Architectural, Ceiling Grid Components and Frames - Furring - Metal, Double,",Length,Ceiling Grid Components and Frames,0-Architectural,1
84,2727,0B-03-1101,"Architectural, Ceiling Grid Components and Frames - Furring - Metal, Double15mm x 45mm x 2.7m;Gauge 0.6mm",Length,Ceiling Grid Components and Frames,0-Architectural,1
85,2728,0B-03-1102,"Architectural, Ceiling Grid Components and Frames - Furring - Metal, Double19mm x 50mm x 5m;Gauge 0.5 mm",Length,Ceiling Grid Components and Frames,0-Architectural,1
86,2729,0B-03-1103,"Architectural, Ceiling Grid Components and Frames - Furring - Metal, Double19mm x 50mm x 5m;Gauge 0.6mm",Length,Ceiling Grid Components and Frames,0-Architectural,1
87,2730,0B-03-1104,"Architectural, Ceiling Grid Components and Frames - Furring - Metal, Double19mm x 50mm x 3m;Gauge26",Length,Ceiling Grid Components and Frames,0-Architectural,1
88,2731,0B-03-1105,"Architectural, Ceiling Grid Components and Frames - Furring - Metal, Double19mm x 50mm x 5m;Gauge: 0.8mm",Length,Ceiling Grid Components and Frames,0-Architectural,1
89,13599,0B-03-1106,"Architectural, Ceiling Grid Components and Frames - Furring - Metal, Double19mm x 50mm x 5m;Gauge 0.4mm",Length,Ceiling Grid Components and Frames,0-Architectural,1
90,15492,0B-03-1107,"Architectural, Ceiling Grid Components and Frames - Furring - Metal, Double19mm x 75mm x 5m;Gauge: 0.8mm",Length,Ceiling Grid Components and Frames,0-Architectural,1
91,16255,0B-04-1111,"Architectural, Ceiling Grid Components and Frames - Furring - Metal, Double, 3/4"" x 2"", 1mm thk.",Length,Ceiling Grid Components and Frames,0-Architectural,1
92,16837,0B-04-1112,"Furring - Metal, Double 4"" x 2"" thickness 1/8",Length,Ceiling Grid Components and Frames,0-Architectural,1
